term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0006335	DNA replication-dependent nucleosome assembly	0.0003995026	15.66689	159	10.14879	0.004054468	4.574941999999999e-100	3.0100830888999996e-96	32	22.96086	30	1.306571	0.002226676	0.9375	0.002190461	0.0340310227851239
GO:0006342	chromatin silencing	0.003569935	139.9986	370	2.642884	0.009434925	8.860262e-59	8.968629819846153e-56	97	69.6001	80	1.149424	0.005937802	0.8247423	0.01012803	0.1133288663010204
GO:0045814	negative regulation of gene expression, epigenetic	0.005415112	212.359	473	2.22736	0.0120614	6.795129e-54	5.621840616e-51	114	81.79805	94	1.149172	0.006976917	0.8245614	0.005599399	0.0723796576041257
GO:0090501	RNA phosphodiester bond hydrolysis	0.007249038	284.2783	580	2.040254	0.01478988	6.835584e-54	5.621840616e-51	133	95.43106	118	1.236495	0.008758257	0.887218	1.864262e-06	7.279472895548962e-05
GO:0045653	negative regulation of megakaryocyte differentiation	0.0001923306	7.542438	80	10.60665	0.002039984	1.2140370000000001e-52	9.397360519411764e-50	18	12.91548	15	1.161397	0.001113338	0.8333333	0.2072175	0.7793012525007145
GO:0000183	chromatin silencing at rDNA	0.0009106066	35.71035	160	4.480494	0.004079967	1.942125e-52	1.3450748881578949e-49	36	25.83096	31	1.20011	0.002300898	0.8611111	0.03557664	0.2822240796557863
GO:0045815	positive regulation of gene expression, epigenetic	0.003754603	147.2405	366	2.485729	0.009332925	3.50878e-52	2.308601801e-49	80	57.40214	68	1.184625	0.005047131	0.85	0.004117337	0.0575159634639065
GO:0019080	viral gene expression	0.006005482	235.511	481	2.042368	0.0122654	4.507838e-45	2.1969866756296292e-42	127	91.1259	114	1.251016	0.008461367	0.8976378	6.590431e-07	2.7365913021451107e-05
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.005438963	213.2944	447	2.095695	0.01139841	1.3015729999999998e-44	5.905999692068965e-42	118	84.66816	107	1.263757	0.00794181	0.9067797	4.10062e-07	1.7576566312703582e-05
GO:1901532	regulation of hematopoietic progenitor cell differentiation	0.005496316	215.5435	442	2.05063	0.01127091	5.961788e-42	2.3073873027058823e-39	113	81.08052	96	1.184008	0.007125362	0.8495575	0.0007162328	0.0139421707325443
GO:0006353	DNA-templated transcription, termination	0.005395591	211.5935	433	2.046377	0.01104141	6.274071e-41	2.2933472302499998e-38	109	78.21042	99	1.265816	0.007348029	0.9082569	9.225639e-07	3.712543841009175e-05
GO:0034340	response to type I interferon	0.00261817	102.6742	264	2.571241	0.006731946	1.750124e-40	6.060495188421053e-38	67	48.07429	51	1.060858	0.003785348	0.761194	0.2585821	0.8493794788845591
GO:0045047	protein targeting to ER	0.004763986	186.8245	390	2.087521	0.00994492	8.68105e-39	2.4833464554347827e-36	101	72.4702	95	1.310884	0.007051139	0.9405941	1.435483e-08	8.038093956170213e-07
GO:0006613	cotranslational protein targeting to membrane	0.004521721	177.3238	375	2.114775	0.009562424	1.769933e-38	4.8548759770833333e-36	98	70.31762	92	1.308349	0.006828472	0.9387755	3.261816e-08	1.7307353525806452e-06
GO:0016073	snRNA metabolic process	0.004095847	160.6227	350	2.179019	0.008924929	1.77091e-38	4.8548759770833333e-36	86	61.7073	78	1.264032	0.005789356	0.9069767	1.568999e-05	0.0005023469061070559
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	0.004234841	166.0735	356	2.143629	0.009077927	9.771852999999999e-38	2.5717562725400005e-35	92	66.01246	86	1.302784	0.006383137	0.9347826	1.654905e-07	7.80533867204301e-06
GO:0060337	type I interferon signaling pathway	0.002347779	92.07048	232	2.519809	0.005915953	1.514962e-34	3.378878806440678e-32	62	44.48666	46	1.034018	0.003414236	0.7419355	0.3947379	0.9615984480293308
GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	0.003657999	143.4521	310	2.161	0.007904937	1.1385470000000002e-33	2.378117456031746e-31	70	50.22687	63	1.254309	0.004676019	0.9	0.0001891441	0.0045585113771062
GO:0016233	telomere capping	0.001070741	41.9902	141	3.357927	0.003595471	2.7994350000000002e-33	5.755900807031251e-31	32	22.96086	27	1.175914	0.002004008	0.84375	0.07685189	0.4596338486400724
GO:0006369	termination of RNA polymerase II transcription	0.0030435	119.3539	268	2.245423	0.006833945	8.432699e-32	1.5411928630694446e-29	69	49.50935	65	1.312883	0.004824464	0.942029	2.665354e-06	0.00010166200952463767
GO:0070126	mitochondrial translational termination	0.003741094	146.7108	303	2.065288	0.007726438	8.822145999999999e-30	1.4695015090379747e-27	87	62.42483	75	1.201445	0.005566689	0.862069	0.001113291	0.0198652222398374
GO:0019731	antibacterial humoral response	0.0009891317	38.78979	126	3.248278	0.003212974	1.1824520000000001e-28	1.852367365238095e-26	35	25.11344	21	0.8362057	0.001558673	0.6	0.9547489	1.0
GO:0070125	mitochondrial translational elongation	0.003680082	144.3181	293	2.030237	0.00747144	9.925103e-28	1.5012003491609195e-25	85	60.98977	73	1.196922	0.005418244	0.8588235	0.001631671	0.0271100488497474
GO:0002480	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent	0.0003399126	13.33001	69	5.176289	0.001759486	4.627282e-27	6.765600426444445e-25	5	3.587634	5	1.393676	0.0003711126	1.0	0.1901514	0.7344297835632521
GO:1903839	positive regulation of mRNA 3'-UTR binding	5.727657e-06	0.2246158	17	75.68479	0.0004334965	2.1372279999999998e-26	2.89935909814433e-24	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.9615984480293308
GO:0010939	regulation of necrotic cell death	0.001048869	41.13246	120	2.917404	0.003059976	1.440046e-23	1.5159652251200004e-21	27	19.37322	25	1.290441	0.001855563	0.9259259	0.008425157	0.0990765334789991
GO:0006379	mRNA cleavage	0.001300461	50.9989	136	2.666724	0.003467972	4.7599780000000005e-23	4.9320118505511815e-21	23	16.50312	20	1.211892	0.00148445	0.8695652	0.07591739	0.4565799520155393
GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	0.001622916	63.64429	155	2.435411	0.003952468	2.768941e-22	2.7191413894776114e-20	24	17.22064	21	1.219467	0.001558673	0.875	0.06117196	0.4081956499188641
GO:0042026	protein refolding	0.000551821	21.64021	80	3.696822	0.002039984	4.826148e-22	4.704243076444444e-20	21	15.06806	18	1.19458	0.001336005	0.8571429	0.1153068	0.5808473178202677
GO:0050687	negative regulation of defense response to virus	0.0007877054	30.89066	96	3.107736	0.00244798	5.670848e-21	5.182131168888889e-19	24	17.22064	21	1.219467	0.001558673	0.875	0.06117196	0.4081956499188641
GO:0006361	transcription initiation from RNA polymerase I promoter	0.001688688	66.22358	154	2.325456	0.003926969	2.4175809999999998e-20	2.0821967336601307e-18	33	23.67838	28	1.182513	0.002078231	0.8484848	0.06375497	0.4108480167629774
GO:0051290	protein heterotetramerization	0.00215911	84.67166	182	2.14948	0.004640963	2.956115e-20	2.525942680844156e-18	44	31.57118	38	1.203629	0.002820456	0.8636364	0.01840319	0.1800658971078066
GO:0006363	termination of RNA polymerase I transcription	0.001560765	61.20697	145	2.369011	0.00369747	6.226742999999999e-20	5.218962492802548e-18	31	22.24333	27	1.213847	0.002004008	0.8709677	0.0377611	0.2914359618181818
GO:0002251	organ or tissue specific immune response	0.001219652	47.82986	123	2.571615	0.003136475	8.422121e-20	7.014347483481013e-18	33	23.67838	24	1.013583	0.00178134	0.7272727	0.5386715	0.9615984480293308
GO:0072367	regulation of lipid transport by regulation of transcription from RNA polymerase II promoter	0.0002106931	8.262541	46	5.567295	0.001172991	8.592506999999999e-20	7.111245258679246e-18	4	2.870107	4	1.393676	0.0002968901	1.0	0.2650317	0.8493794788845591
GO:1990440	positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	0.000472626	18.5345	69	3.722787	0.001759486	2.1223649999999999e-19	1.692618244545455e-17	11	7.892794	11	1.393676	0.0008164477	1.0	0.02592496	0.2289574151946308
GO:0002385	mucosal immune response	0.001054376	41.34843	111	2.684504	0.002830477	2.4853549999999997e-19	1.97016785813253e-17	31	22.24333	22	0.9890606	0.001632895	0.7096774	0.6265173	0.9615984480293308
GO:0006362	transcription elongation from RNA polymerase I promoter	0.001592321	62.44446	145	2.322063	0.00369747	3.34755e-19	2.5610703749999998e-17	30	21.5258	27	1.254309	0.002004008	0.9	0.01546055	0.1561219483052147
GO:0072369	regulation of lipid transport by positive regulation of transcription from RNA polymerase II promoter	9.909263e-05	3.886016	32	8.234654	0.0008159935	6.400991999999999e-19	4.840842168275863e-17	2	1.435054	2	1.393676	0.000148445	1.0	0.5148339	0.9615984480293308
GO:0006360	transcription from RNA polymerase I promoter	0.001758419	68.95818	154	2.233238	0.003926969	8.278905e-19	6.225263479714285e-17	34	24.39591	28	1.147733	0.002078231	0.8235294	0.1154279	0.5808473178202677
GO:0002181	cytoplasmic translation	0.00176305	69.13977	154	2.227372	0.003926969	1.0376960000000001e-18	7.714712804519773e-17	43	30.85365	39	1.264032	0.002894678	0.9069767	0.002429544	0.0373485624953271
GO:2001199	negative regulation of dendritic cell differentiation	0.0002119172	8.310545	44	5.294478	0.001121991	3.244667e-18	2.3459655523626373e-16	5	3.587634	4	1.114941	0.0002968901	0.8	0.5645529	0.9615984480293308
GO:2000981	negative regulation of inner ear receptor cell differentiation	0.000506654	19.86894	69	3.472757	0.001759486	6.960224e-18	4.897838909946526e-16	4	2.870107	4	1.393676	0.0002968901	1.0	0.2650317	0.8493794788845591
GO:0010968	regulation of microtubule nucleation	0.0001001618	3.927947	31	7.892164	0.0007904937	7.094452e-18	4.965739035531915e-16	5	3.587634	4	1.114941	0.0002968901	0.8	0.5645529	0.9615984480293308
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.001993537	78.17853	165	2.110554	0.004207466	8.04166e-18	5.569484417894738e-16	37	26.54849	35	1.318342	0.002597788	0.9459459	0.0005454497	0.0111107935020123
GO:0002085	inhibition of neuroepithelial cell differentiation	0.0005224222	20.48731	70	3.416749	0.001784986	9.151366e-18	6.304859957801047e-16	4	2.870107	4	1.393676	0.0002968901	1.0	0.2650317	0.8493794788845591
GO:0042126	nitrate metabolic process	0.0001105738	4.336263	32	7.379627	0.0008159935	1.3838790000000001e-17	9.435473451295337e-16	4	2.870107	4	1.393676	0.0002968901	1.0	0.2650317	0.8493794788845591
GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	0.001567763	61.48139	138	2.244582	0.003518972	3.349332e-17	2.214766823517588e-15	29	20.80828	28	1.345618	0.002078231	0.9655172	0.00081365	0.0153392841690544
GO:2001168	positive regulation of histone H2B ubiquitination	7.731657e-05	3.032047	27	8.904877	0.0006884945	5.007005e-17	3.2599387068472907e-15	4	2.870107	4	1.393676	0.0002968901	1.0	0.2650317	0.8493794788845591
GO:0010869	regulation of receptor biosynthetic process	0.001092304	42.83581	108	2.521255	0.002753978	5.0290110000000005e-17	3.2599387068472907e-15	20	14.35054	20	1.393676	0.00148445	1.0	0.001303259	0.022624782560686
GO:0032480	negative regulation of type I interferon production	0.002269458	88.99908	178	2.000021	0.004538964	6.256361e-17	3.920354971380953e-15	47	33.72376	40	1.186107	0.002968901	0.8510638	0.02536156	0.2279595410109289
GO:0072361	regulation of glycolytic process by regulation of transcription from RNA polymerase II promoter	0.0001645542	6.453159	37	5.733626	0.0009434925	1.246261e-16	7.735636084433963e-15	2	1.435054	2	1.393676	0.000148445	1.0	0.5148339	0.9615984480293308
GO:0045608	negative regulation of auditory receptor cell differentiation	0.0004991242	19.57365	66	3.371879	0.001682987	1.415631e-16	8.745675271830987e-15	3	2.15258	3	1.393676	0.0002226676	1.0	0.3693916	0.9278152442069096
GO:1904182	regulation of pyruvate dehydrogenase activity	1.906882e-05	0.7478027	16	21.39602	0.0004079967	2.25676e-16	1.3812420855813952e-14	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.9615984480293308
GO:0002227	innate immune response in mucosa	0.0007416401	29.08416	83	2.853787	0.002116483	2.651663e-16	1.6154274730092595e-14	22	15.78559	15	0.9502338	0.001113338	0.6818182	0.7355986	0.9811212221163592
GO:0060544	regulation of necroptotic process	0.0007418664	29.09303	83	2.852917	0.002116483	2.696112e-16	1.6349372261751152e-14	20	14.35054	20	1.393676	0.00148445	1.0	0.001303259	0.022624782560686
GO:0072595	maintenance of protein localization in organelle	0.001469954	57.6457	129	2.237808	0.003289474	4.278198e-16	2.5589457946363635e-14	31	22.24333	28	1.258804	0.002078231	0.9032258	0.01215676	0.1312311770631665
GO:1904851	positive regulation of establishment of protein localization to telomere	0.0001632165	6.400696	36	5.624388	0.0009179927	5.638164e-16	3.3420090124324334e-14	9	6.457741	9	1.393676	0.0006680027	1.0	0.050375	0.3520364445034519
GO:1900060	negative regulation of ceramide biosynthetic process	4.099363e-05	1.607606	20	12.44086	0.0005099959	1.180238e-15	6.872014089380531e-14	4	2.870107	4	1.393676	0.0002968901	1.0	0.2650317	0.8493794788845591
GO:0072363	regulation of glycolytic process by positive regulation of transcription from RNA polymerase II promoter	9.10754e-05	3.571613	27	7.559609	0.0006884945	2.484537e-15	1.397180443717949e-13	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.9615984480293308
GO:0072366	regulation of cellular ketone metabolic process by positive regulation of transcription from RNA polymerase II promoter	9.10754e-05	3.571613	27	7.559609	0.0006884945	2.484537e-15	1.397180443717949e-13	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.9615984480293308
GO:0043634	polyadenylation-dependent ncRNA catabolic process	0.000191899	7.525511	38	5.049491	0.0009689922	2.564756e-15	1.4361542214468085e-13	7	5.022687	6	1.19458	0.0004453351	0.8571429	0.3677157	0.9278152442069096
GO:0000469	cleavage involved in rRNA processing	0.0008349659	32.74402	87	2.656973	0.002218482	2.860055e-15	1.581322006092437e-13	24	17.22064	22	1.277537	0.001632895	0.9166667	0.01840479	0.1800658971078066
GO:1905456	regulation of lymphoid progenitor cell differentiation	0.0005336103	20.92606	66	3.153962	0.001682987	3.102078e-15	1.7079600168200837e-13	8	5.740214	8	1.393676	0.0005937802	1.0	0.07021822	0.4293687532434944
GO:0002767	immune response-inhibiting cell surface receptor signaling pathway	0.0002578658	10.11246	44	4.351066	0.001121991	3.168586e-15	1.7373092989166668e-13	5	3.587634	4	1.114941	0.0002968901	0.8	0.5645529	0.9615984480293308
